domain,status,baseline_rtt_ms,baseline_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,error
pnbindia.in,ok,293.14,593.04,1188.18,2,100.35,0.1,
kotak.com,ok,133.83,273.46,545.17,2,99.36,0.1,
axisbank.com,ok,123.58,252.9,503.8,2,99.21,0.1,
icicibank.com,ok,41.45,88.3,173.22,2,96.17,0.1,
hdfcbank.com,ok,58.35,122.1,240.82,2,97.23,0.1,
sbi.co.in,ok,3.54,12.48,21.58,2,72.92,0.1,
nseindia.com,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
bseindia.com,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
economictimes.indiatimes.com,ok,139.17,284.18,566.72,2,99.42,0.1,
livemint.com,ok,145.01,295.89,590.29,2,99.5,0.1,
moneycontrol.com,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
epaper.timesgroup.com,ok,261.88,530.33,1062.01,2,100.25,0.1,
hungama.com,ok,52.55,110.5,217.62,2,96.94,0.1,
wynk.in,ok,40.57,86.54,169.7,2,96.09,0.1,
jiosaavn.com,ok,296.17,599.12,1200.41,2,100.36,0.1,
gaana.com,ok,216.2,438.7,877.63,2,100.05,0.1,
mxplayer.in,ok,94.94,195.45,388.2,2,98.62,0.1,
altbalaji.com,ok,5.36,16.12,28.86,2,79.03,0.1,
voot.com,ok,37.91,81.22,159.06,2,95.84,0.1,
bsnl.co.in,ok,5.01,15.42,27.46,2,78.08,0.1,
vi.com,ok,67.55,140.51,277.65,2,97.6,0.1,
airtel.in,ok,2.78,10.96,18.54,2,69.16,0.1,
jio.com,ok,30.24,65.88,128.38,2,94.87,0.1,
sonyliv.com,ok,56.11,117.62,231.86,2,97.13,0.1,
zee5.com,ok,147.14,300.16,598.89,2,99.52,0.1,
hotstar.com,ok,68.79,142.99,282.65,2,97.67,0.1,
anandabazar.com,ok,47.04,99.48,195.58,2,96.6,0.1,
lokmat.com,ok,74.32,154.09,304.97,2,97.92,0.1,
dinamalar.com,ok,4.28,13.96,24.54,2,75.79,0.1,
dailythanthi.com,ok,23.05,51.5,99.62,2,93.44,0.1,
sakshi.com,ok,89.43,184.4,365.96,2,98.46,0.1,
eenadu.net,ok,7.44,20.28,37.18,2,83.33,0.1,
manoramaonline.com,ok,23.92,53.24,103.1,2,93.65,0.1,
mathrubhumi.com,ok,30.97,67.34,131.3,2,94.98,0.1,
malayalam.samayam.com,ok,79.82,165.12,327.17,2,98.14,0.1,
patrika.com,ok,43.41,92.22,181.06,2,96.33,0.1,
livehindustan.com,ok,286.12,578.96,1159.85,2,100.33,0.1,
navbharattimes.indiatimes.com,ok,57.39,120.18,236.98,2,97.19,0.1,
amarujala.com,ok,64.01,133.42,263.46,2,97.47,0.1,
jagran.com,ok,17.9,41.2,79.02,2,91.8,0.1,
bhaskar.com,ok,28.11,61.62,119.86,2,94.51,0.1,
aajtak.in,ok,99.37,204.34,406.08,2,98.73,0.1,
