domain,status,baseline_rtt_ms,baseline_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,error
bseindia.com,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
economictimes.indiatimes.com,ok,33.12,76.13,168.66,2,121.54,1.2,
livemint.com,ok,70.82,151.83,321.4,2,111.68,1.2,
moneycontrol.com,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
epaper.timesgroup.com,ok,158.88,334.41,714.82,2,113.76,1.2,
hungama.com,ok,37.3,84.49,185.38,2,119.41,1.2,
wynk.in,ok,28.31,66.51,149.42,2,124.66,1.2,
jiosaavn.com,ok,42.94,95.77,207.94,2,117.12,1.2,
gaana.com,ok,185.1,388.77,831.97,2,114.0,1.2,
mxplayer.in,ok,152.34,320.85,685.61,2,113.69,1.2,
altbalaji.com,ok,15.89,41.67,99.74,2,139.36,1.2,
voot.com,ok,42.89,95.67,207.74,2,117.14,1.2,
bsnl.co.in,ok,3.57,17.03,50.46,2,196.3,1.2,
vi.com,ok,305.98,639.39,1372.02,2,114.58,1.2,
airtel.in,ok,16.92,43.73,103.86,2,137.5,1.2,
jio.com,ok,16.61,43.11,102.62,2,138.04,1.2,
sonyliv.com,ok,103.83,220.27,468.88,2,112.87,1.2,
zee5.com,ok,152.9,322.01,688.11,2,113.69,1.2,
hotstar.com,ok,89.88,191.35,406.55,2,112.46,1.2,
anandabazar.com,ok,56.25,122.39,261.18,2,113.4,1.2,
lokmat.com,ok,173.28,364.26,779.16,2,113.9,1.2,
dinamalar.com,ok,181.42,381.14,815.52,2,113.97,1.2,
dailythanthi.com,ok,74.7,159.88,338.74,2,111.87,1.2,
sakshi.com,ok,58.6,127.09,270.58,2,112.9,1.2,
eenadu.net,ok,5.28,20.45,57.3,2,180.2,1.2,
manoramaonline.com,ok,67.01,143.93,304.38,2,111.48,1.2,
mathrubhumi.com,ok,23.6,57.09,130.58,2,128.73,1.2,
malayalam.samayam.com,ok,140.23,295.74,631.5,2,113.53,1.2,
patrika.com,ok,47.73,105.35,227.1,2,115.57,1.2,
livehindustan.com,ok,127.12,268.56,572.93,2,113.33,1.2,
navbharattimes.indiatimes.com,ok,41.48,92.85,202.1,2,117.66,1.2,
amarujala.com,ok,92.1,195.95,416.47,2,112.54,1.2,
jagran.com,ok,7.3,24.49,65.38,2,166.97,1.2,
bhaskar.com,ok,44.21,98.31,213.02,2,116.68,1.2,
aajtak.in,ok,157.2,330.93,707.32,2,113.74,1.2,
abplive.com,ok,114.36,242.1,515.92,2,113.1,1.2,
zeenews.india.com,ok,39.54,88.97,194.34,2,118.43,1.2,
republicworld.com,ok,55.4,120.69,257.78,2,113.59,1.2,
opindia.com,ok,78.89,168.56,357.45,2,112.06,1.2,
thewire.in,ok,90.25,192.12,408.21,2,112.48,1.2,
scroll.in,ok,95.12,202.21,429.96,2,112.63,1.2,
theprint.in,ok,95.0,201.97,429.43,2,112.62,1.2,
firstpost.com,ok,172.66,362.98,776.39,2,113.89,1.2,
indiatoday.in,ok,185.81,390.24,835.14,2,114.01,1.2,
news18.com,ok,184.96,388.48,831.34,2,114.0,1.2,
indianexpress.com,ok,197.57,414.63,887.68,2,114.09,1.2,
hindustantimes.com,ok,98.36,208.93,444.44,2,112.72,1.2,
thehindu.com,ok,50.1,110.09,236.58,2,114.9,1.2,
ndtv.com,ok,90.58,192.8,409.68,2,112.49,1.2,
timesofindia.indiatimes.com,ok,42.06,94.01,204.42,2,117.44,1.2,
healthkart.com,ok,59.0,127.89,272.18,2,112.82,1.2,
apollo247.com,ok,50.47,110.83,238.06,2,114.8,1.2,
netmeds.com,ok,35.49,80.87,178.14,2,120.28,1.2,
1mg.com,ok,52.67,115.23,246.86,2,114.23,1.2,
pharmeasy.in,ok,62.54,134.97,286.34,2,112.15,1.2,
mfine.co,ok,1014.08,2107.51,4535.58,2,115.21,1.2,
boat-lifestyle.com,ok,102.23,216.96,461.73,2,112.82,1.2,
bewakoof.com,ok,176.99,371.96,795.73,2,113.93,1.2,
dunzo.com,ok,102.0,216.48,460.7,2,112.81,1.2,
urbancompany.com,ok,97.8,207.77,441.94,2,112.71,1.2,
sulekha.com,ok,56.71,123.31,263.02,2,113.3,1.2,
justdial.com,ok,176.0,369.9,791.31,2,113.93,1.2,
tradeindia.com,ok,105.81,224.38,477.72,2,112.91,1.2,
indiamart.com,ok,64.22,138.33,293.06,2,111.86,1.2,
urbanladder.com,ok,45.1,100.09,216.58,2,116.39,1.2,
pepperfry.com,ok,120.36,254.54,542.73,2,113.22,1.2,
shopclues.com,ok,97.4,206.94,440.15,2,112.69,1.2,
snapdeal.com,ok,197.17,413.8,885.89,2,114.09,1.2,
firstcry.com,ok,25.57,61.03,138.46,2,126.87,1.2,
jiomart.com,ok,4.53,18.95,54.3,2,186.54,1.2,
tatacliq.com,ok,93.49,198.83,422.68,2,112.58,1.2,
reliancedigital.in,ok,4.71,19.31,55.02,2,184.93,1.2,
croma.com,ok,143.22,301.94,644.86,2,113.57,1.2,
lenskart.com,ok,67.22,144.37,305.32,2,111.48,1.2,
cred.club,ok,75.23,160.98,341.1,2,111.89,1.2,
mobikwik.com,ok,201.63,423.04,905.82,2,114.12,1.2,
freecharge.in,ok,54.8,119.49,255.38,2,113.72,1.2,
phonepe.com,ok,128.34,271.09,578.38,2,113.35,1.2,
paytm.com,ok,21.78,53.45,123.3,2,130.68,1.2,
bookmyshow.com,ok,110.53,234.16,498.81,2,113.02,1.2,
uber.com,ok,100.5,213.37,454.0,2,112.78,1.2,
olacabs.com,ok,408.3,851.54,1829.15,2,114.8,1.2,
olaelectric.com,ok,177.5,373.01,798.01,2,113.94,1.2,
irctc.co.in,ok,6.92,23.73,63.86,2,169.11,1.2,
redbus.in,ok,110.6,234.31,499.12,2,113.02,1.2,
cleartrip.com,ok,48.64,107.17,230.74,2,115.3,1.2,
yatra.com,ok,180.49,379.21,811.37,2,113.96,1.2,
goibibo.com,ok,70.81,151.81,321.36,2,111.69,1.2,
makemytrip.com,ok,104.79,222.26,473.17,2,112.89,1.2,
zeptonow.com,ok,108.98,230.95,491.89,2,112.99,1.2,
blinkit.com,ok,40.31,90.51,197.42,2,118.12,1.2,
bigbasket.com,ok,56.27,122.43,261.26,2,113.4,1.2,
swiggy.com,ok,103.11,218.78,465.66,2,112.84,1.2,
zomato.com,ok,35.79,81.47,179.34,2,120.13,1.2,
nykaa.com,ok,64.62,139.13,294.66,2,111.79,1.2,
meesho.com,ok,23.9,57.69,131.78,2,128.43,1.2,
ajio.com,ok,7.73,25.35,67.1,2,164.69,1.2,
myntra.com,ok,30.62,71.13,158.66,2,123.06,1.2,
flipkart.com,ok,37.2,84.29,184.98,2,119.46,1.2,
amazon.in,ok,101.62,215.69,459.0,2,112.81,1.2,
google.com,ok,29.1,68.09,152.58,2,124.09,1.2,
makemytrip.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
irctc.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
akasaair.in,ok,119.68,253.13,539.69,2,113.21,1.2,
goindigo.in,ok,36.75,83.39,183.18,2,119.67,1.2,
airindia.in,ok,187.72,394.2,843.67,2,114.02,1.2,
caratlane.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
bluestone.in,ok,53.12,116.13,248.66,2,114.12,1.2,
joyalukkas.in,ok,105.11,222.93,474.6,2,112.89,1.2,
malabargold.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
tanishq.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
titan.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
pidilite.in,failed,,,,,,1.2,[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)
nerolac.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
bergerpaints.in,failed,,,,,,1.2,[Errno 11002] getaddrinfo failed
asianpaints.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
patanjaliayurved.in,failed,,,,,,1.2,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'patanjaliayurved.in'. (_ssl.c:1000)"
godrejcp.in,failed,,,,,,1.2,[Errno 11002] getaddrinfo failed
emamiltd.in,ok,234.05,490.26,1050.66,2,114.31,1.2,
marico.in,ok,285.41,596.75,1280.12,2,114.52,1.2,
dabur.in,failed,,,,,,1.2,[Errno 11002] getaddrinfo failed
hul.in,ok,394.98,823.92,1769.64,2,114.78,1.2,
itcportal.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
britannia.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
amul.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
glaxosmithkline.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
pfizerindia.in,failed,,,,,,1.2,[Errno 11002] getaddrinfo failed
abbottindia.in,failed,,,,,,1.2,[Errno 11002] getaddrinfo failed
bioconbiologics.in,ok,220.91,463.02,991.95,2,114.23,1.2,
netmeds.in,failed,,,,,,1.2,[WinError 10054] An existing connection was forcibly closed by the remote host
1mg.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
thyrocare.in,failed,,,,,,1.2,[Errno 11002] getaddrinfo failed
metropolisindia.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
lalpathlabs.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
medanta.in,failed,,,,,,1.2,[Errno 11002] getaddrinfo failed
asterdmhealthcare.in,ok,249.64,522.58,1120.31,2,114.38,1.2,
maxhealthcare.in,ok,23.11,56.11,128.62,2,129.23,1.2,
fortishealthcare.in,failed,,,,,,1.2,[Errno 11002] getaddrinfo failed
apollohospitals.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
zyduslife.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
torrentpharma.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
mankindpharma.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
glenmarkpharma.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
biocon.in,failed,,,,,,1.2,[Errno 11002] getaddrinfo failed
aurobindo.in,failed,,,,,,1.2,[Errno 11002] getaddrinfo failed
lupin.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
sunpharma.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
cipla.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
drreddys.in,ok,34.76,79.41,175.22,2,120.65,1.2,
dalmiacement.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
shreecement.in,ok,4.27,18.43,53.26,2,188.99,1.2,
acclimited.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
ambujacement.in,ok,103.43,219.44,467.09,2,112.86,1.2,
ultratechcement.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
adaniports.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
adanipower.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
powergrid.in,ok,25.95,61.79,139.98,2,126.54,1.2,
ntpc.in,ok,13.56,37.01,90.42,2,144.31,1.2,
hindustanpetroleum.in,failed,,,,,,1.2,[WinError 10054] An existing connection was forcibly closed by the remote host
bharatpetroleum.in,ok,334.08,697.65,1497.56,2,114.66,1.2,
iocl.in,failed,,,,,,1.2,[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1000)
ongcindia.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
sail.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
jsw.in,ok,5.25,20.39,57.18,2,180.43,1.2,
tatasteel.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
atherenergy.in,failed,,,,,,1.2,[Errno 11002] getaddrinfo failed
olaelectric.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
royalenfield.in,ok,23.4,56.69,129.78,2,128.93,1.2,
ashokleyland.in,failed,,,,,,1.2,[Errno 11002] getaddrinfo failed
tvsmotor.in,failed,,,,,,1.2,[Errno 11002] getaddrinfo failed
bajajauto.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
heromotocorp.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
