domain,status,baseline_rtt_ms,baseline_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,error
bankofbaroda.in,failed,,,,,,3.5,_ssl.c:983: The handshake operation timed out
pnbindia.in,ok,31.06,81.89,235.93,2,188.11,3.5,
kotak.com,ok,20.82,61.41,194.97,2,217.49,3.5,
axisbank.com,ok,39.32,98.41,268.97,2,173.32,3.5,
icicibank.com,ok,44.95,109.67,291.49,2,165.79,3.5,
hdfcbank.com,ok,37.05,93.87,259.89,2,176.86,3.5,
sbi.co.in,ok,7.43,34.63,141.41,2,308.35,3.5,
nseindia.com,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
bseindia.com,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
economictimes.indiatimes.com,ok,55.66,131.09,334.33,2,155.04,3.5,
livemint.com,ok,46.04,111.85,295.85,2,164.51,3.5,
moneycontrol.com,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
epaper.timesgroup.com,ok,33.68,87.13,246.41,2,182.81,3.5,
hungama.com,ok,45.72,111.21,294.57,2,164.88,3.5,
wynk.in,ok,38.34,96.45,265.05,2,174.81,3.5,
jiosaavn.com,ok,96.73,219.89,546.72,2,148.63,3.5,
gaana.com,ok,92.73,211.01,524.32,2,148.48,3.5,
mxplayer.in,ok,72.27,165.55,409.74,2,147.5,3.5,
altbalaji.com,ok,24.05,67.87,207.89,2,206.31,3.5,
voot.com,ok,18.14,56.05,184.25,2,228.72,3.5,
bsnl.co.in,ok,30.55,80.87,233.89,2,189.22,3.5,
vi.com,ok,88.74,202.14,501.98,2,148.33,3.5,
airtel.in,ok,6.63,33.03,138.21,2,318.44,3.5,
jio.com,ok,5.52,30.81,133.77,2,334.18,3.5,
sonyliv.com,ok,29.8,79.37,230.89,2,190.9,3.5,
zee5.com,ok,183.14,411.86,1030.65,2,150.24,3.5,
hotstar.com,ok,84.91,193.63,480.53,2,148.17,3.5,
anandabazar.com,ok,209.49,470.4,1178.22,2,150.47,3.5,
lokmat.com,ok,496.88,1108.85,2787.72,2,151.41,3.5,
dinamalar.com,ok,7.49,34.75,141.65,2,307.63,3.5,
dailythanthi.com,ok,30.99,81.75,235.65,2,188.26,3.5,
sakshi.com,ok,180.26,405.46,1014.52,2,150.21,3.5,
eenadu.net,ok,3.3,26.37,124.89,2,373.61,3.5,
manoramaonline.com,ok,20.99,61.75,195.65,2,216.84,3.5,
mathrubhumi.com,ok,5.2,30.17,132.49,2,339.14,3.5,
malayalam.samayam.com,ok,38.88,97.53,267.21,2,173.98,3.5,
patrika.com,ok,103.68,235.33,585.65,2,148.86,3.5,
livehindustan.com,ok,120.44,272.57,679.51,2,149.3,3.5,
navbharattimes.indiatimes.com,ok,181.97,409.26,1024.1,2,150.23,3.5,
amarujala.com,ok,102.87,233.53,581.11,2,148.84,3.5,
jagran.com,ok,7.82,35.41,142.97,2,303.76,3.5,
bhaskar.com,ok,190.51,428.23,1071.93,2,150.32,3.5,
aajtak.in,ok,39.91,99.59,271.33,2,172.45,3.5,
abplive.com,ok,199.35,447.87,1121.44,2,150.39,3.5,
zeenews.india.com,ok,55.06,129.89,331.93,2,155.55,3.5,
republicworld.com,ok,77.22,176.55,437.46,2,147.78,3.5,
opindia.com,ok,42.53,104.83,281.81,2,168.83,3.5,
thewire.in,ok,33.46,86.69,245.53,2,183.23,3.5,
scroll.in,ok,199.7,448.65,1123.4,2,150.4,3.5,
theprint.in,ok,89.58,204.01,506.68,2,148.36,3.5,
firstpost.com,ok,172.59,388.42,971.57,2,150.13,3.5,
indiatoday.in,ok,103.19,234.24,582.9,2,148.85,3.5,
news18.com,ok,189.74,426.52,1067.62,2,150.31,3.5,
indianexpress.com,ok,192.39,432.41,1082.46,2,150.33,3.5,
hindustantimes.com,ok,73.65,168.62,417.47,2,147.58,3.5,
thehindu.com,ok,187.88,422.39,1057.2,2,150.29,3.5,
ndtv.com,ok,212.19,476.39,1193.34,2,150.5,3.5,
timesofindia.indiatimes.com,ok,112.6,255.15,635.6,2,149.11,3.5,
healthkart.com,ok,216.94,486.95,1219.95,2,150.53,3.5,
apollo247.com,ok,30.46,80.69,233.53,2,189.42,3.5,
netmeds.com,ok,111.85,253.48,631.4,2,149.09,3.5,
1mg.com,ok,30.35,80.47,233.09,2,189.66,3.5,
pharmeasy.in,ok,62.95,145.67,363.49,2,149.53,3.5,
mfine.co,ok,7.05,33.87,139.89,2,313.02,3.5,
boat-lifestyle.com,ok,203.53,457.15,1144.84,2,150.43,3.5,
bewakoof.com,ok,189.31,425.56,1065.21,2,150.31,3.5,
dunzo.com,ok,120.27,272.19,678.56,2,149.3,3.5,
urbancompany.com,ok,109.29,247.79,617.07,2,149.03,3.5,
sulekha.com,ok,117.54,266.12,663.27,2,149.24,3.5,
justdial.com,ok,116.76,264.39,658.9,2,149.22,3.5,
tradeindia.com,ok,85.62,195.21,484.5,2,148.19,3.5,
indiamart.com,ok,44.11,107.99,288.13,2,166.81,3.5,
urbanladder.com,ok,51.39,122.55,317.25,2,158.87,3.5,
pepperfry.com,ok,98.36,223.51,555.85,2,148.69,3.5,
shopclues.com,ok,173.35,390.11,975.83,2,150.14,3.5,
snapdeal.com,ok,133.99,302.67,755.39,2,149.58,3.5,
firstcry.com,ok,135.06,305.04,761.39,2,149.6,3.5,
jiomart.com,ok,8.1,35.97,144.09,2,300.58,3.5,
tatacliq.com,ok,198.55,446.09,1116.96,2,150.39,3.5,
reliancedigital.in,ok,29.18,78.13,228.41,2,192.35,3.5,
croma.com,ok,304.16,680.71,1708.41,2,150.97,3.5,
lenskart.com,ok,90.53,206.12,512.0,2,148.4,3.5,
cred.club,ok,65.17,150.11,372.37,2,148.06,3.5,
mobikwik.com,ok,177.99,400.42,1001.81,2,150.19,3.5,
